source,row_id,paper_id_dd,doi,overlap_flag,emission_nm,T_growth_C,time_min,FWHM_nm,QY_percent,PL_peak_nm_core,route,system_tag,shell_present_flag,data_quality_tier,measurement_state,caution_count,abs_nm,diameter_nm,in_source,in_amount_mmol,p_source,p_amount_mmol,ligand_source,ligand_amount_mmol,first_sol,second_sol,acid,acid_amount_mmol,total_volume_ml
cossairt,cos_raw_row_205,,10.1039/c8nr01286e,0,606,150,30,,,,,,,,,,568,None,indium chloride,0.45,tris(diethylamino)phosphine,1.6,oleylamine,33,None,None,None,0,10.858
cossairt,cos_raw_row_206,,10.1039/c8nr01286e,0,607,180,30,,,,,,,,,,570,None,indium chloride,0.45,tris(diethylamino)phosphine,1.6,oleylamine,15,None,None,None,0,4.936
cossairt,cos_raw_row_207,,10.1002/adma.200800724,0,630,240,20,,,,,,,,,,570,None,indium chloride,0.1,tris(trimethylsilyl)phosphine,0.1,hexadecylamine,0.2,octadecene,None,stearic acid,0.1,3.052
cossairt,cos_raw_row_208,,10.1021/cm201550w,0,480,300,10,,,,,,,,,,460,None,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,None,0,octadecene,None,oleic acid,0.3,10
cossairt,cos_raw_row_209,,10.1039/c1jm13982g,0,None,240,13,,,,,,,,,,620,None,indium acetate,0.2,phosphine gas,0.19,None,0,octadecene,None,myristic acid,0.6,15
cossairt,cos_raw_row_210,,10.1039/c1jm13982g,0,None,240,5,,,,,,,,,,570,None,indium acetate,0.2,phosphine gas,0.19,None,0,octadecene,None,myristic acid,0.6,15
cossairt,cos_raw_row_211,,10.1039/c1jm13982g,0,610,240,20,,,,,,,,,,590,None,indium acetate,0.2,phosphine gas,0.19,None,0,octadecene,None,myristic acid,0.6,15
cossairt,cos_raw_row_212,,10.1021/acsami.7b19144,0,620,210,20,,,,,,,,,,595,1.95,indium chloride,0.3,tris(trimethylsilyl)phosphine,0.3,oleylamine,0.62,octadecene,None,oleic acid,0.34,9.204
cossairt,cos_raw_row_213,,10.1021/acs.jpclett.9b01824,0,None,180,20,,,,,,,,,,None,3.2,indium chloride,0.23,tris(diethylamino)phosphine,0.8,oleylamine,7.5,None,None,None,0,2.468
cossairt,cos_raw_row_214,,10.1134/s0036023618040071,0,None,230,15,,,,,,,,,,623,4.5,indium acetate,0.1,phosphine gas,3,None,0,octadecene,None,myristic acid,0.3,2
cossairt,cos_raw_row_215,,10.3762/bjnano.5.135,0,None,260,15,,,,,,,,,,660,4.5,indium acetate,0.1,phosphine gas,3,None,0,octadecene,None,myristic acid,0.3,2
cossairt,cos_raw_row_216,,10.3390/ma12142267,0,530,180,2,,,,,,,,,,505,None,indium iodide,0.3,tris(dimethylamino)phosphine,0.66,oleylamine,6,None,None,None,0,1.975
cossairt,cos_raw_row_217,,10.1039/c1jm13982g,0,None,200,15,,,,,,,,,,548,None,indium acetate,0.2,phosphine gas,0.19,None,0,octadecene,None,myristic acid,0.6,15
cossairt,cos_raw_row_218,,10.1039/c1jm13982g,0,None,220,15,,,,,,,,,,570,None,indium acetate,0.2,phosphine gas,0.19,None,0,octadecene,None,myristic acid,0.6,15
cossairt,cos_raw_row_219,,10.1039/c1jm13982g,0,None,260,15,,,,,,,,,,600,None,indium acetate,0.2,phosphine gas,0.19,None,0,octadecene,None,myristic acid,0.6,15
